name,followers,following,posts,bio_length,has_profile_picture,has_external_link,is_verified,engagement_rate,suspicious_activity,post_frequency,account_age_days,account_type
Alice Williams,82603,847,53,86,True,False,False,0.07207620116272286,False,regular,229,real
Fiona Jones,77668,304,331,139,True,False,False,0.084216252898646,False,regular,1474,real
George Davis,91778,391,382,50,True,False,False,0.08176744016920215,False,occasional,1306,real
John Smith1988,2931,3868,39,28,False,True,False,0.019452737278614074,False,very_low,344,fake
Charlie Taylor,17978,989,497,146,True,False,False,0.0660814840784904,False,occasional,657,real
9be3gbdz,120,3755,11,5,True,False,False,0.0199312852620641,False,very_low,39,fake
Follower785Bot,3313,1544,33,35,True,False,False,0.015197891407621504,True,irregular,195,fake
Fiona Smith,26987,16,466,74,True,False,False,0.07610719797860512,False,regular,1698,real
Eve Taylor,31049,902,39,45,True,False,False,0.020442221730814635,False,regular,1384,real
George Moore,318,815,53,116,True,False,False,0.020992142503282095,False,occasional,508,real
Jack Miller,36569,896,457,52,True,False,False,0.06403224194001891,False,regular,1214,real
Charlie Smith,96370,335,487,56,True,True,False,0.07605163286113394,False,occasional,674,real
AmazonDealsShop5,3473,1642,16,16,False,True,False,0.01530621259119253,True,irregular,254,fake
Alice Anderson,54757,637,413,132,True,False,False,0.0545744775166341,False,regular,154,real
User404Spam,2629,4227,9,34,False,False,False,0.0011238245640929213,False,spammy,72,fake
FashionNovaShop1,883,4071,40,2,False,True,False,0.01437625325083063,True,spammy,102,fake
Eve Smith,94926,148,480,54,True,False,True,0.011627060024509112,False,regular,1583,real
Jack Jones,39012,265,78,60,True,False,False,0.09608470821696569,False,occasional,1197,real
Bob Anderson,6448,465,216,33,True,False,False,0.04601953209130547,False,regular,1003,real
Jack Smith31,2961,221,312,142,True,False,False,0.06558625456432784,False,regular,1528,real
User741Bot,4331,4532,29,33,False,True,False,0.014902744710289843,True,spammy,332,fake
Fan497Bot,1092,2134,36,8,True,True,False,0.018233011255259276,True,spammy,167,fake
Bob Wilson,6036,398,255,105,True,False,True,0.09270418035002051,False,consistent,117,real
NikeShop5,3426,2135,38,12,False,False,False,0.014913183024192455,True,very_low,256,fake
1opd07_2pa,2909,4873,50,2,True,True,False,0.018033710582137343,False,very_low,321,fake
Bob Anderson,85646,186,472,55,True,False,False,0.086629940047805,True,regular,1211,real
AmazonDealsShop1,405,3134,4,28,True,False,False,0.01623142128947765,False,very_low,272,fake
Fiona Williams,71378,255,141,148,True,False,False,0.07754120461652672,False,regular,940,real
x5jcn16vsu7,4851,1079,20,31,True,True,False,0.0022696049867958635,True,irregular,109,fake
Fiona Miller,58430,222,107,46,True,False,False,0.03599666129985344,False,regular,426,real
Charlie Williams,87390,886,394,95,True,True,False,0.019676339548867574,False,occasional,886,real
Alice Williams78,50323,809,316,36,True,False,False,0.06628355226196961,False,regular,1239,real
FashionNovaDeals2,2815,3664,24,34,True,True,False,0.01343663915626127,True,irregular,262,fake
Jane Doe1999,627,2539,11,8,False,False,False,0.002993644109454272,False,spammy,290,fake
David Moore66,1671,765,254,50,True,False,False,0.08728248774781594,False,regular,991,real
Charlie Miller,2631,163,135,64,True,False,False,0.0674278556505489,False,consistent,1203,real
Eve Brown,86885,251,191,20,True,False,False,0.04875523387767685,False,occasional,1051,real
Michael Davis2005,1367,4647,47,30,False,True,False,0.00371050367779191,False,irregular,253,fake
Ivy Smith,80388,142,266,131,True,False,False,0.07357309544769243,False,occasional,1028,real
David Williams,35692,838,36,66,True,False,True,0.08699523436366562,False,regular,991,real
db0wc29qkog48uw,1276,2392,42,15,False,False,False,0.002748043589252862,True,irregular,298,fake
TechGadgetsShop2,3000,3238,11,24,False,True,False,0.007690989854888273,True,irregular,365,fake
Fiona Smith,2199,499,473,57,True,False,False,0.010384498328472784,False,regular,1238,real
Fiona Miller,37118,965,75,87,True,False,False,0.0707098789520796,False,regular,566,real
Member747Spam,1543,2086,35,42,False,True,False,0.013420089592413188,False,irregular,343,fake
FashionNovaStore5,142,3239,33,30,True,False,False,0.012594053643588617,False,very_low,167,fake
Jack Williams,57951,110,52,95,True,False,False,0.01767638849618472,False,regular,224,real
Ivy Wilson,74848,424,143,144,True,False,True,0.021911439558647206,False,consistent,947,real
David Smith,51138,796,244,56,True,False,False,0.0794995588536719,False,occasional,357,real
Alice Moore,75944,346,322,89,True,True,False,0.08838039725282691,False,regular,1390,real
33l7twp9jf,103,731,7,22,False,False,False,0.01737270312490056,True,very_low,51,fake
Fiona Taylor,24942,382,172,149,True,False,False,0.05570691250139184,False,occasional,1418,real
Alice Anderson,86377,811,450,111,True,True,False,0.09459028208362112,False,regular,1138,real
Robert Jones1998,2662,3274,13,26,False,False,False,0.004613517789791137,True,spammy,260,fake
AdidasOnline1,987,506,30,34,True,True,False,0.0030614604493312348,True,irregular,89,fake
John Smith2003,2864,2955,19,40,False,True,False,0.012500222864469578,True,spammy,26,fake
Mary Brown1996,4270,3003,23,16,False,False,False,0.0030787486806208154,True,spammy,312,fake
Hannah Taylor,12989,81,232,42,True,False,False,0.019051418614062947,False,occasional,1587,real
David Anderson94,46043,562,178,35,True,False,False,0.017619710208238822,False,regular,356,real
Charlie Davis65,25138,617,411,65,True,False,False,0.020873562136241017,False,occasional,1317,real
Charlie Moore51,59821,534,101,65,True,False,False,0.010597967590377606,False,regular,417,real
John Smith1995,3653,2071,4,36,False,False,False,0.016710666071486146,False,irregular,148,fake
NikeOnline4,264,4086,21,34,True,True,False,0.00412456335977786,False,spammy,246,fake
George Smith,45286,34,82,116,True,False,False,0.09697938834912005,True,regular,1437,real
gm_9e4q2w2ll,2094,4519,13,35,False,True,False,0.016900341142806845,True,very_low,56,fake
Jack Wilson,45446,455,178,61,True,False,False,0.025064324051043647,True,regular,194,real
Alice Miller,10078,980,19,53,True,False,True,0.09697960243747089,False,occasional,865,real
Fiona Miller,50261,860,214,77,True,True,False,0.01743814927402328,False,occasional,1691,real
George Jones,91238,916,225,38,True,False,True,0.0715335889773479,False,regular,31,real
29li49vtmxm1,3899,2489,35,40,False,True,False,0.009535186463270251,False,spammy,365,fake
AdidasOfficial1,370,3201,34,18,False,True,False,0.004618669799288877,True,very_low,11,fake
Alice Taylor,72634,448,133,43,True,True,False,0.0920207663562389,False,regular,513,real
Eve Taylor53,4283,628,25,106,True,False,True,0.02461576342892946,False,occasional,842,real
George Jones,44496,508,40,145,True,False,False,0.018746390654431178,False,regular,1643,real
zw12pkwyygke,1383,1513,23,10,False,False,False,0.0014902774245460072,True,very_low,8,fake
George Moore,48045,478,65,51,True,False,True,0.07336426162309913,False,occasional,1424,real
Fiona Anderson,93587,340,30,34,True,False,False,0.09189239853429683,False,regular,153,real
7njwy_4dilz,2894,3156,14,41,False,True,False,0.018877842651793545,True,irregular,279,fake
AdidasShop1,4505,2705,37,33,False,True,False,0.016455028981731675,True,very_low,351,fake
Fiona Davis,71302,664,392,147,True,False,False,0.02822905059311396,True,regular,1465,real
Ivy Smith13,74374,610,202,85,True,False,False,0.055402690680736465,True,regular,1130,real
Bob Brown,64216,457,352,146,True,False,False,0.01875197056073213,False,regular,681,real
Jack Moore,38153,148,363,128,True,False,False,0.03707238835950295,False,occasional,183,real
Ivy Miller,39625,379,33,98,True,True,False,0.05858718408711177,False,occasional,784,real
TechGadgetsDeals2,4430,4761,31,44,False,True,False,0.005854811891838244,True,spammy,34,fake
Hannah Davis,92928,473,240,80,True,False,False,0.08851877223796496,False,regular,264,real
0ln9is8wjs,2510,3969,3,41,False,False,False,0.013443751382930294,True,very_low,28,fake
Profile156Online,1249,2018,18,24,False,False,False,0.013188718421182574,True,irregular,246,fake
Profile345Inactive,4308,2502,2,42,False,False,False,0.01860136400425453,True,very_low,349,fake
Fiona Miller,35797,880,292,128,True,False,False,0.03735361860231827,False,regular,425,real
Jack Williams,79975,608,470,132,True,False,True,0.04763540179936904,False,regular,909,real
Fiona Davis12,97827,32,158,94,True,False,False,0.02609382161462437,True,occasional,510,real
Eve Wilson,38870,227,330,80,True,True,False,0.021857124289697223,False,consistent,1352,real
Ivy Taylor1,66021,289,129,56,True,True,False,0.06247890244316921,False,regular,300,real
l6ttv848g5236yr,4762,2945,33,27,False,True,False,0.009913020362090949,True,irregular,198,fake
David Jones,8117,509,477,78,True,False,False,0.08293865990709161,False,regular,910,real
Fan188Fake,3464,961,23,19,False,True,False,0.006239825362903264,True,spammy,295,fake
Charlie Taylor,39167,853,409,92,True,True,False,0.07663439826380174,False,regular,1284,real
f2gj8xdzk2fths,1449,3118,47,13,False,True,False,0.006928778468422503,True,irregular,51,fake
5egur5nqg,4142,2243,5,39,False,False,False,0.0006379958974774259,True,irregular,178,fake
Ivy Moore56,3639,143,59,141,True,False,False,0.048277902636235305,False,regular,674,real
Eve Brown78,26075,625,205,84,True,True,False,0.04242062166309874,False,regular,644,real
Charlie Brown,11854,677,446,29,True,False,False,0.09438265539868236,False,occasional,861,real
252tg5z2w9ykm2,324,2287,50,39,False,False,False,0.01053583897044621,False,spammy,206,fake
User692Online,4805,1470,4,0,False,True,False,0.009216330923225236,True,very_low,310,fake
Bob Davis36,33077,770,331,141,True,False,True,0.07564715688881958,False,regular,804,real
David Brown28,43657,324,203,67,True,False,False,0.03881853825755635,False,occasional,1801,real
Eve Wilson,30155,634,198,143,True,True,False,0.06419848845534747,False,occasional,785,real
6idi55ty2vk0,4775,2675,39,9,False,True,False,0.018656738611163418,True,very_low,88,fake
Follower198Suspicious,3865,4025,25,46,False,False,False,0.0033941475844290526,True,irregular,306,fake
FashionNovaStore4,2042,1623,32,8,True,False,False,0.007794384448064451,True,irregular,158,fake
Account167Online,1237,2708,2,17,False,True,False,0.014946540250670775,True,spammy,168,fake
Hannah Brown,98771,710,184,32,True,False,False,0.055533351088517,False,consistent,1644,real
Account691Fake,4902,1207,3,38,True,True,False,0.0035727772229396096,True,irregular,215,fake
NikeStore1,3935,3760,10,44,False,True,False,0.014878607537863266,True,spammy,55,fake
Charlie Wilson,21251,983,230,62,True,False,False,0.07922791015949729,False,regular,429,real
Hannah Jones,26711,845,327,25,True,False,False,0.060008956439411475,False,regular,1703,real
Member174Spam,3016,4894,39,3,False,True,False,0.0007968223747610615,True,irregular,10,fake
Hannah Williams58,49128,662,368,90,True,False,False,0.018752061769379404,True,consistent,1812,real
Alice Miller,32470,670,90,70,True,False,False,0.03779049764778422,False,regular,382,real
Alice Wilson,73518,243,498,89,True,False,True,0.029262966999937426,False,regular,200,real
javbr2np,1838,2651,27,25,False,False,False,0.002563146957770117,False,very_low,237,fake
Ivy Moore,81083,457,95,117,True,False,False,0.06776990653910243,False,occasional,436,real
Fiona Jones,18731,185,294,64,True,False,True,0.03497156927433446,False,regular,277,real
TechGadgetsDeals1,3566,3258,21,39,True,True,False,0.013431612170626842,True,very_low,35,fake
SheinDeals1,923,2825,23,31,False,False,False,0.01716639288828242,False,very_low,60,fake
George Smith,23555,254,345,138,True,False,False,0.07322093400713992,False,occasional,562,real
Fiona Davis,26123,196,225,45,True,False,False,0.019291027372829492,False,regular,1685,real
Charlie Wilson47,10956,203,30,42,True,True,False,0.03787451968085178,False,regular,706,real
Ivy Williams72,80982,170,37,23,True,False,False,0.046735638709126275,False,regular,520,real
Hannah Moore,1878,439,390,48,True,False,False,0.06821071087669874,False,occasional,1548,real
a1ickimn,4892,2593,22,47,True,True,False,0.004390690067215113,True,very_low,158,fake
7gt7c3srfvb8x,4969,1841,18,11,False,True,False,0.002371891116235734,True,spammy,154,fake
George Williams,80926,644,43,91,True,True,False,0.0726490765234418,False,occasional,107,real
Hannah Miller,45366,881,107,137,True,False,False,0.05302853438814263,False,regular,344,real
Fan918Inactive,840,918,29,50,False,True,False,0.018880706730378956,False,spammy,212,fake
Ivy Wilson,30731,831,63,87,True,False,False,0.039117329790452675,False,regular,1472,real
Fiona Wilson,78379,406,107,92,True,False,False,0.0917090121872089,False,regular,89,real
Bob Taylor75,49113,279,272,146,True,False,False,0.0610837656696552,False,consistent,732,real
SheinOfficial2,3262,4435,16,4,False,True,False,0.018927290619235468,True,irregular,163,fake
Jack Moore66,61624,656,205,117,True,True,False,0.07839952453362938,False,occasional,450,real
Bob Jones27,34829,881,400,80,True,True,False,0.07692903892091091,False,regular,1223,real
Account720Bot,264,3834,20,33,False,True,False,0.00761730172548442,True,irregular,38,fake
Profile461Online,4763,4128,1,42,False,False,False,0.006803749429259878,False,irregular,203,fake
Jack Taylor,7933,250,45,125,True,True,False,0.014056071895600587,False,regular,619,real
AdidasDeals1,4614,1670,16,17,True,True,False,0.0042833678672018795,True,irregular,41,fake
George Miller,76972,446,14,110,True,False,False,0.06550499462714074,False,occasional,1217,real
George Williams,96428,252,397,22,True,False,False,0.08629273449086788,False,regular,1103,real
Follower793Suspicious,395,2720,13,17,False,False,False,0.004359071750728465,True,irregular,177,fake
Charlie Miller,60987,23,204,85,True,False,False,0.08263040502632193,False,regular,428,real
Alice Smith,1783,681,52,123,True,False,False,0.03364875889477835,False,consistent,832,real
George Taylor3,27667,250,389,43,True,False,False,0.07823099080628056,False,occasional,1765,real
0z0dsz9h,4514,937,25,0,False,False,False,0.014718497217407757,True,very_low,18,fake
AdidasStore3,778,890,35,2,False,True,False,0.0037711675713421955,True,spammy,268,fake
Ivy Miller,63831,373,152,118,True,True,False,0.08090392760611954,False,regular,1238,real
Hannah Williams,35502,977,24,30,True,False,False,0.09432437627049979,False,occasional,1647,real
Alice Anderson,47934,75,366,80,True,False,False,0.09637310389112148,False,regular,1590,real
Hannah Miller,78115,429,286,130,True,True,False,0.06484669323625342,False,consistent,1713,real
Mary Brown2000,2776,848,38,2,False,False,False,0.013510436491685108,True,irregular,359,fake
Hannah Smith,8170,235,343,124,True,False,False,0.07535297494302963,False,occasional,509,real
lq3dg35_3_ko8,1370,4506,40,26,True,False,False,0.015192035073921813,False,spammy,252,fake
AdidasDeals1,3116,3008,12,9,True,False,False,0.007314620026647432,False,very_low,170,fake
Eve Brown,79483,721,307,25,True,True,False,0.08555759488605456,False,occasional,721,real
AdidasDeals3,1416,3660,16,21,False,True,False,0.018296588725719678,True,irregular,201,fake
Jane Doe1988,3034,3765,1,33,True,False,False,0.014605305739622274,True,irregular,87,fake
Bob Anderson,18913,896,239,26,True,False,False,0.01199269269182495,False,occasional,1061,real
Charlie Taylor58,21585,12,226,99,True,False,True,0.09704533484424424,True,occasional,821,real
David Brown2,18965,757,183,38,True,False,False,0.032090190780243166,False,regular,1787,real
AdidasStore1,2410,4107,30,37,False,True,False,0.005710162298042565,True,irregular,198,fake
Jane Doe1998,3766,4535,40,12,False,False,False,0.0012332912601127632,False,very_low,309,fake
mh4qp1c6nkbj,4060,1011,46,19,True,True,False,0.003840285730288977,True,irregular,32,fake
Jack Miller6,55967,221,449,104,True,True,False,0.048487891275902285,False,consistent,848,real
David Anderson,38317,497,302,46,True,False,False,0.03179898122573986,False,occasional,1477,real
Eve Wilson,43438,799,11,56,True,True,False,0.014564656320954248,False,regular,929,real
AmazonDealsOnline1,525,2193,35,19,False,True,False,0.011543168447483881,True,irregular,102,fake
Hannah Moore,17119,484,438,97,True,False,False,0.032069770873219695,False,regular,896,real
Follower410Bot,3088,4353,29,22,False,True,False,0.012041427640697324,True,very_low,343,fake
Fiona Taylor,86760,533,319,34,True,True,False,0.08299319631805471,False,occasional,1723,real
Jack Moore22,12854,304,359,29,True,False,False,0.0412211052657938,False,regular,743,real
Bob Miller,47784,792,318,118,True,False,False,0.0467645088147515,False,occasional,1812,real
Fiona Davis,15498,189,164,20,True,False,False,0.014391811305755158,False,regular,1009,real
Mary Brown1991,3645,4435,32,48,False,True,False,0.014434434942378394,False,irregular,115,fake
Hannah Davis,59642,759,483,59,True,False,False,0.06614963660306576,False,regular,374,real
Ivy Wilson,44331,358,269,145,True,False,False,0.020485140666763532,False,occasional,962,real
George Jones,5055,759,42,103,True,False,False,0.08364819534719012,False,regular,1534,real
Eve Smith57,27997,344,130,97,True,True,False,0.06037732770063485,False,regular,327,real
Jane Doe1987,166,2056,44,50,True,False,False,0.01886304219507016,True,very_low,311,fake
Member807Inactive,3122,2306,22,32,False,False,False,0.01206332965698024,True,spammy,300,fake
Jack Miller,71857,934,286,143,True,True,False,0.09145462746736296,False,regular,1150,real
Follower824Fake,4347,1347,18,14,False,True,False,0.017689259881521927,False,irregular,136,fake
Charlie Moore,61333,33,7,111,True,False,True,0.028498855708599252,False,regular,226,real
Ivy Miller26,99136,857,250,55,True,True,False,0.0944396859182761,True,regular,1556,real
Fiona Davis7,47861,503,155,55,True,False,False,0.015323456650198575,False,regular,1651,real
Profile842Fake,4041,3301,36,37,False,True,False,0.018754320372274685,True,irregular,314,fake
Eve Taylor,60063,25,157,22,True,True,False,0.0235049059273851,False,regular,1168,real
User607Inactive,349,1899,34,18,False,True,False,0.017421604298555268,True,irregular,325,fake
Hannah Miller,33910,779,263,69,True,False,False,0.068555651910311,False,regular,101,real
Bob Taylor,81446,229,294,70,True,True,False,0.06369104330407668,False,consistent,372,real
Ivy Moore10,62462,512,167,140,True,False,False,0.07506770497124157,False,occasional,283,real
Member858Fake,3065,3102,40,32,False,False,False,0.0017756398834388155,False,spammy,174,fake
re29i0e1,2302,3770,31,19,False,False,False,0.012954075873573362,True,irregular,91,fake
2zzxlht1t_n77a,3124,4162,29,29,False,True,False,0.018153903861447503,True,irregular,359,fake
Hannah Miller,71579,699,350,58,True,False,False,0.09862200649055368,False,occasional,1431,real
obr5xamt75,3169,970,19,3,False,False,False,0.005576336317465795,True,irregular,244,fake
Profile392Fake,3371,1755,42,33,False,True,False,0.00685671856361789,True,irregular,277,fake
Fiona Smith70,29982,390,440,110,True,False,False,0.023897001930208918,False,occasional,38,real
Charlie Moore,44613,464,20,94,True,False,False,0.07210177490179345,True,regular,1806,real
Follower287Fake,653,3769,47,7,False,True,False,0.01489625772231032,True,irregular,333,fake
8v_i9t9pw0wn,2756,1939,39,31,True,True,False,0.006483851480196348,True,irregular,173,fake
Eve Brown10,71409,344,2,108,True,True,False,0.09424735593674367,False,consistent,1376,real
Account298Bot,541,3153,11,8,False,True,False,0.004925842096025657,False,spammy,245,fake
Fiona Brown,77464,267,68,133,True,False,False,0.022019079105189812,False,regular,401,real
Alice Anderson61,79511,518,387,37,True,False,False,0.07741651354658959,False,regular,1318,real
Michael Davis1982,1381,4852,16,25,False,True,False,0.014941282706381743,False,spammy,32,fake
TechGadgetsOfficial5,3730,3730,39,43,False,False,False,2.3766277232686317e-05,True,irregular,41,fake
Eve Jones,63468,179,25,139,True,True,False,0.09461156701267566,False,consistent,1074,real
FashionNovaOnline5,1430,2879,29,28,True,False,False,0.01901451765481138,False,irregular,226,fake
Ivy Williams42,44259,133,260,39,True,False,False,0.019958914631876046,False,occasional,1548,real
Alice Davis,7637,806,480,104,True,False,False,0.06887593413484652,False,regular,514,real
SheinStore5,75,4866,41,29,False,False,False,0.0021491794981187474,False,spammy,12,fake
Member810Online,1716,1634,43,17,False,True,False,0.013698782239787067,True,spammy,307,fake
Follower588Online,3223,3668,31,38,False,False,False,0.006566863301932365,True,irregular,283,fake
Bob Anderson3,14094,701,84,104,True,False,False,0.027997503702782624,True,regular,1361,real
Member840Fake,543,3231,37,11,False,True,False,0.001129532887205138,True,irregular,156,fake
jvw3rg2uczm,4241,2952,17,49,False,True,False,0.019405698026576712,True,irregular,253,fake
g4mvfmehz9i9lr,1817,3253,0,48,False,False,False,0.009023015190229584,True,irregular,331,fake
George Taylor,94454,283,409,141,True,False,False,0.05003420421875973,False,occasional,629,real
Fan314Suspicious,4026,2910,38,5,True,True,False,0.007518260798295402,True,irregular,78,fake
Bob Davis,11084,945,82,129,True,True,False,0.08129159484764044,False,occasional,157,real
Ivy Miller,56361,448,493,55,True,True,False,0.02438745229431544,False,occasional,190,real
SheinStore4,4878,3719,12,5,False,True,False,0.005930742885943614,True,very_low,345,fake
Ivy Jones,45651,970,120,90,True,False,False,0.07174225166708117,False,occasional,1585,real
Eve Jones,6940,478,488,47,True,False,False,0.04206739068744585,False,regular,1700,real
Fan250Inactive,1976,4773,43,29,True,False,False,0.00649378984833364,False,irregular,287,fake
NikeDeals2,4863,4637,1,25,False,True,False,0.018585703094260976,True,spammy,230,fake
Jack Wilson,40008,104,293,47,True,False,False,0.017244405654338445,True,regular,1068,real
TechGadgetsStore2,1258,2251,38,38,False,False,False,0.003331970386368701,True,spammy,296,fake
Jack Brown,13089,791,311,61,True,False,False,0.02490760307065901,False,occasional,681,real
David Brown,5995,599,112,97,True,False,False,0.05185196530216584,False,regular,1155,real
George Wilson,88143,668,122,53,True,True,False,0.08833086762427222,False,regular,541,real
Eve Wilson,67523,126,344,99,True,True,False,0.01447002963346509,False,regular,745,real
Eve Miller65,11372,411,375,57,True,True,False,0.030350213919319864,False,regular,1690,real
AdidasDeals4,2469,3247,41,2,True,True,False,0.0013821005047001545,True,irregular,203,fake
Ivy Taylor90,78008,507,46,41,True,False,False,0.026416767680831656,False,regular,406,real
tdwpk9uwsji8,4598,1550,27,50,True,True,False,0.018613060486894543,False,irregular,40,fake
Fiona Miller,13852,946,43,29,True,False,False,0.060443117102012264,False,consistent,1020,real
David Smith,15917,668,222,95,True,True,False,0.057237102765421946,True,regular,113,real
AmazonDealsShop2,4745,4897,49,50,False,False,False,0.004704614438228731,True,irregular,30,fake
Fiona Smith,49011,940,199,144,True,True,False,0.07406613815387413,False,regular,1288,real
Ivy Brown87,32878,402,324,65,True,True,False,0.023137751015990228,False,regular,161,real
kk23h438cxssr,3924,1109,33,39,True,True,False,0.011241795057157042,True,very_low,186,fake
SheinOnline4,4298,2874,24,36,False,False,False,0.004922156288830691,False,very_low,122,fake
Hannah Williams,58433,420,440,57,True,False,True,0.044594689755337855,False,regular,1360,real
3eojn7hq,118,1298,49,25,False,True,False,0.006398220161986883,False,very_low,1,fake
George Miller,2211,304,445,132,True,False,False,0.07529175270744597,True,regular,1288,real
Eve Moore58,63990,292,175,49,True,True,False,0.021355006188845206,False,occasional,1448,real
Ivy Brown75,13824,643,348,86,True,True,False,0.026570918456848856,False,regular,1097,real
Jane Doe2004,4848,3429,13,42,False,True,False,0.0056272554867617085,True,irregular,160,fake
Bob Brown,19584,513,180,73,True,True,True,0.06328903865981604,False,occasional,625,real
Fiona Davis,5839,312,137,140,True,False,False,0.026117422501756776,False,occasional,474,real
FashionNovaShop5,4301,1362,26,37,False,False,False,0.007906371757973842,True,spammy,314,fake
User646Suspicious,3106,782,21,27,False,False,False,0.013258362901151842,True,irregular,81,fake
Profile975Inactive,1441,1595,39,23,True,True,False,0.0002098632486561969,True,irregular,66,fake
David Wilson,70374,589,489,149,True,True,False,0.09195363348060297,False,regular,420,real
Member469Spam,3261,3693,1,21,False,True,False,0.00035561704781157834,True,irregular,129,fake
Hannah Williams,58296,145,61,119,True,True,False,0.09203164692211342,False,regular,1583,real
Fiona Jones,86220,54,188,99,True,True,True,0.07785044760222444,False,regular,564,real
Hannah Anderson,1466,940,373,93,True,False,False,0.04418833342382186,False,occasional,719,real
Profile531Bot,4370,3742,20,20,False,True,False,0.010648333339245348,False,irregular,303,fake
Charlie Davis,41521,106,371,107,True,False,False,0.0628792375963606,True,regular,1690,real
Eve Moore,6247,523,191,112,True,False,True,0.0694090262179035,False,occasional,237,real
Account898Suspicious,1432,1914,4,7,False,False,False,0.006947180495224994,True,irregular,147,fake
Ivy Miller100,60701,339,192,70,True,False,False,0.044141339258770555,True,regular,117,real
Eve Wilson,55058,718,459,57,True,False,False,0.08155437634280761,False,regular,1662,real
TechGadgetsShop2,1308,2628,20,6,False,True,False,0.01882216901320034,True,irregular,170,fake
ej9cu139k7031,703,500,24,29,False,True,False,0.019009546738586545,True,spammy,330,fake
Fiona Taylor,14743,675,328,98,True,True,False,0.03399399110989686,False,regular,1559,real
Ivy Williams,52448,879,340,32,True,False,False,0.09194749101632581,False,occasional,311,real
Hannah Wilson60,34879,912,261,67,True,True,True,0.012695161751910107,False,occasional,380,real
Charlie Williams,41448,504,328,140,True,False,False,0.07441348349655723,False,occasional,251,real
Bob Moore,68332,291,155,66,True,False,False,0.014958661652632262,False,consistent,63,real
Alice Jones56,50570,561,111,65,True,True,False,0.016682031925550286,False,occasional,1537,real
Ivy Moore6,66225,488,59,127,True,False,True,0.058948185667290175,False,occasional,1526,real
User557Inactive,4839,3573,14,31,False,False,False,0.018855196357098845,False,irregular,153,fake
Fiona Taylor,11735,76,281,109,True,False,False,0.08081702956973821,False,regular,783,real
David Smith,19217,37,440,111,True,False,False,0.040340509427445104,False,occasional,53,real
FashionNovaOnline3,1904,1734,31,9,False,True,False,0.0192204932599646,True,irregular,100,fake
Eve Anderson,22338,687,6,128,True,False,False,0.0519319572840924,False,consistent,1025,real
Profile520Bot,2657,3687,28,50,True,True,False,0.00554458638201186,True,irregular,197,fake
Jack Moore63,49107,644,54,120,True,False,True,0.0157548987720231,True,occasional,1023,real
